file: 1.jpg,Packet loss: 0%, time delay: 0 ms
3047349,1537,15861000
3427652,1819,15074000
3427657,1845,14862000
3464456,2021,13713000
3255900,1734,15021000
file: 1.jpg,Packet loss: 5%, time delay: 0 ms
3699950,2255,13126000
3714706,2351,12640000
5282522,3259,12967000
6003927,3558,13499000
6725256,3932,13683000
file: 1.jpg,Packet loss: 10%, time delay: 0 ms
4001760,2360,13565000
4939018,3236,12210000
5137794,3206,12820000
5307058,3674,11555000
6622207,4210,12583000
file: 1.jpg,Packet loss: 15%, time delay: 0 ms
4308460,2599,13261000
4438518,2959,12000000
5272742,3308,12751000
5893520,3772,12499000
7014798,4453,12602000
file: 1.jpg,Packet loss: 20%, time delay: 0 ms
4242230,2499,13580000
4627428,3017,12270000
5415068,3557,12178000
6239421,4027,12395000
7424527,4597,12920000
file: 1.jpg,Packet loss: 0%, time delay: 5 ms
15975070,11229,11381000
41985890,30093,11161000
43941301,30662,11464000
29035681,22148,10487000
88738889,55619,12763000
file: 1.jpg,Packet loss: 5%, time delay: 5 ms
20499646,15977,10264000
117271906,80816,11608000
48791960,35316,11052000
90885521,65037,11179000
226231154,149072,12140000
file: 1.jpg,Packet loss: 10%, time delay: 5 ms
76131586,54246,11227000
113944643,90224,10103000
47310101,34584,10943000
138652385,93421,11873000
119013967,80943,11762000
file: 1.jpg,Packet loss: 15%, time delay: 5 ms
24898624,19065,10447000
83421687,60316,11064000
129294399,88122,11737000
71706258,52616,10902000
153157712,103214,11871000
file: 1.jpg,Packet loss: 20%, time delay: 5 ms
31935480,23716,10772000
78104930,54675,11428000
208783914,139402,11981000
123194715,89883,10964000
280963845,180987,12419000
file: 1.jpg,Packet loss: 0%, time delay: 10 ms
39564113,28140,11247000
68786312,47952,11475000
71688938,48459,11834000
70020404,51728,10829000
157909456,112142,11264000
file: 1.jpg,Packet loss: 5%, time delay: 10 ms
76107997,62407,9756000
234503543,162228,11564000
600360509,441880,10869000
446161638,310820,11483000
528789202,369973,11434000
file: 1.jpg,Packet loss: 10%, time delay: 10 ms
429730134,349798,9828000
351114315,245413,11445000
652694091,453085,11524000
390570096,268464,11638000
490460420,346217,11333000
file: 1.jpg,Packet loss: 15%, time delay: 10 ms
154462934,103043,11992000
142589280,103251,11047000
215492098,143264,12033000
165720129,108860,12178000
179673958,114190,12587000
file: 1.jpg,Packet loss: 20%, time delay: 10 ms
44978933,33180,10844000
93332254,61791,12083000
58885692,43731,10772000
55465838,41516,10688000
64570747,46321,11151000
windowsize==2 =================================
1881889,218,69060000
1881889,236,63792000
1881889,255,59039000
1881889,237,63523000
1881889,229,65742000
windowsize==4 =================================
1911315,304,50297000
1955497,414,37787000
1930961,239,64634000
1930961,297,52012000
1930961,274,56378000
windowsize==6 =================================
1980033,389,40720000
2004569,448,35795000
2016837,419,38507000
1992301,363,43907000
2004569,471,34047000
windowsize==8 =================================
2164053,1626,10647000
2102713,1528,11008000
2127249,1531,11115000
2127244,1628,10453000
2114976,1629,10386000
windowsize==10 =================================
2556629,1738,11768000
2507557,1615,12421000
2605701,1529,13633000
2495284,1542,12945000
2549246,1739,11727000
windowsize==12 =================================
2973736,1740,13672000
3138115,2050,12246000
2924669,1523,15362000
3032593,1851,13106000
3015435,1840,13110000
windowsize==14 =================================
3334398,1946,13707000
3096330,1848,13404000
3199450,1931,13255000
3187182,1948,13089000
3064497,1824,13440000
windowsize==16 =================================
3378580,1652,16361000
3403116,1822,14942000
3192072,1913,13348000
3317240,1834,14469000
3366312,1848,14572000
windowsize==18 =================================
3923262,1739,18048000
3488997,2039,13689000
3525796,1911,14760000
3469346,1803,15393000
windowsize==20 =================================
3685285,1827,16136000
3746620,1910,15692000
3857032,1938,15921000
3621457,1646,17601000
3476724,1806,15400000
windowsize==22 =================================
3695060,1803,16395000
3881568,1735,17897000
4332996,2031,17067000
4180895,1751,19101000
3861927,1828,16901000
2
2335805,4510,4143000
4
3108689,4452,5586000
6
3658256,4585,6382000
8
4772151,4770,8003000
10
5603978,5061,8858000
12
6727734,5295,10164000
14
7525164,5251,11464000
16
8854993,5835,12140000
18
9318679,5455,13666000
20
9618016,5336,14419000
22
10150516,4701,17273000
